sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence,reason
19609162,Betano,Home Last Goal Scorer,Last,Javi Guerra,5.6,0.178571,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Sergio Gómez,23.0,0.043478,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Javi Rodriguez,24.0,0.041667,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Jon Martín,24.0,0.041667,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Jesus Rodriguez,7.6,0.131579,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Gonzalo Garcia,5.6,0.178571,,True,732,,UNMAPPED,no_match
19609143,Bet365,Anytime Goal Scorer,Anytime,Ahmadou Dieng,4.75,0.210526,,True,732,,UNMAPPED,no_match
19609143,Bet365,Anytime Goal Scorer,Anytime,Moustapha Mbow,19.0,0.052632,,True,732,,UNMAPPED,no_match
19609143,Bet365,Anytime Goal Scorer,Anytime,Kouadio Kone,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609143,Bet365,First Goal Scorer,First,Ahmadou Dieng,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609143,Bet365,First Goal Scorer,First,Moustapha Mbow,51.0,0.019608,,True,732,,UNMAPPED,no_match
19609143,Bet365,First Goal Scorer,First,Kouadio Kone,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609143,Bet365,Last Goal Scorer,Last,Ahmadou Dieng,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609143,Bet365,Last Goal Scorer,Last,Moustapha Mbow,51.0,0.019608,,True,732,,UNMAPPED,no_match
19609143,Bet365,Last Goal Scorer,Last,Kouadio Kone,21.0,0.047619,,True,732,,UNMAPPED,no_match
