sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score,label,timestamp,finished
19135820,5283385,Mads Larsen,Mads Larsen,Goalscorers,bet365,4.75,0.210526,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,17.0,0.058824,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,21.0,0.047619,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Goalscorers,bet365,13.0,0.076923,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,17.0,0.058824,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,21.0,0.047619,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Goalscorers,bet365,26.0,0.038462,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Goalscorers,bet365,34.0,0.029412,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Goalscorers,bet365,5.0,0.2,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Goalscorers,bet365,11.0,0.090909,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Goalscorers,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,41.0,0.02439,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Goalscorers,bet365,12.0,0.083333,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,41.0,0.02439,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,3.4,0.294118,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,3.75,0.266667,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,4.0,0.25,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Goalscorers,bet365,4.75,0.210526,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Goalscorers,bet365,11.0,0.090909,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,15.0,0.066667,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
