symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
USDJPY,BUY,2026-04-02T08:05:00.848000,2026-04-02T08:05:38.354000,0.01,-0.025056376848027435,time_exit,1
USDJPY,BUY,2026-04-02T08:06:00.245000,2026-04-02T08:06:21.810000,0.02,-0.3639618285183704,stop_loss,2
USDJPY,BUY,2026-04-02T08:06:37.193000,2026-04-02T08:07:07.267000,0.04,-0.4761874925597072,time_exit,3
USDJPY,BUY,2026-04-02T08:08:02.357000,2026-04-02T08:08:34.516000,0.08,0.15035521419425013,time_exit,0
USDJPY,BUY,2026-04-02T08:09:02.979000,2026-04-02T08:09:33.497000,0.01,-0.11278195488722233,time_exit,1
USDJPY,BUY,2026-04-02T08:11:00.491000,2026-04-02T08:11:32.086000,0.02,-0.2130312466713355,time_exit,2
USDJPY,BUY,2026-04-02T08:21:00.269000,2026-04-02T08:21:32.745000,0.04,-0.17542101042443314,time_exit,3
USDJPY,BUY,2026-04-02T08:22:03.991000,2026-04-02T08:22:39.724000,0.08,-0.3508464169812173,time_exit,3
USDJPY,BUY,2026-04-02T08:23:01.481000,2026-04-02T08:23:35.799000,0.08,0.40093719068371203,time_exit,0
USDJPY,BUY,2026-04-02T08:24:03.774000,2026-04-02T08:24:34.127000,0.01,0.012529287208910514,time_exit,0
USDJPY,BUY,2026-04-02T08:25:02.398000,2026-04-02T08:25:35.134000,0.01,-0.0438519557972599,time_exit,1
USDJPY,BUY,2026-04-02T08:26:01.432000,2026-04-02T08:26:33.096000,0.02,0.14406467169461173,time_exit,0
USDJPY,BUY,2026-04-02T08:27:00.287000,2026-04-02T08:27:30.476000,0.01,-0.11276429130775682,time_exit,1
USDJPY,BUY,2026-04-02T08:28:00.175000,2026-04-02T08:28:35.515000,0.02,-0.012529836673638788,time_exit,2
USDJPY,BUY,2026-04-02T08:29:05.825000,2026-04-02T08:29:37.921000,0.04,-0.07517431043267388,time_exit,3
USDJPY,BUY,2026-04-02T08:30:00.081000,2026-04-02T08:30:32.300000,0.08,-0.5513093597291406,time_exit,3
USDJPY,BUY,2026-04-02T08:32:00.161000,2026-04-02T08:32:31.260000,0.08,0.6388785213435864,time_exit,0
USDJPY,BUY,2026-04-02T08:33:01.821000,2026-04-02T08:33:32.289000,0.01,-0.018791223245907603,time_exit,1
USDJPY,BUY,2026-04-02T08:34:01.494000,2026-04-02T08:34:31.917000,0.02,-0.037581269495463,time_exit,2
USDJPY,BUY,2026-04-02T08:35:02.155000,2026-04-02T08:35:32.638000,0.04,-0.17538145466401933,time_exit,3
USDJPY,BUY,2026-04-02T08:36:00.278000,2026-04-02T08:36:30.302000,0.08,0.10021232486378262,time_exit,0
