fixture_id,competition_key,season,home_team,away_team,home_goals,away_goals,priority_rank,has_sqlite_events,has_egie_events,has_cache_events,has_enrichment_events
1048995,bundesliga,2023,FC Augsburg,Eintracht Frankfurt,2,1,99,0,0,0,1
1048994,bundesliga,2023,Vfl Bochum,VfL Wolfsburg,3,1,99,0,0,0,1
1048993,bundesliga,2023,Borussia Monchengladbach,1899 Hoffenheim,2,1,99,0,0,0,1
1048992,bundesliga,2023,FSV Mainz 05,SC Freiburg,0,1,99,0,0,0,1
1048991,bundesliga,2023,Bayer Leverkusen,Borussia Dortmund,1,1,99,0,0,0,1
1048990,bundesliga,2023,RB Leipzig,FC Heidenheim,2,1,99,0,0,0,1
1048989,bundesliga,2023,Bayern Munich,Union Berlin,1,0,99,0,0,0,1
1048987,bundesliga,2023,Werder Bremen,Bayer Leverkusen,0,3,99,0,0,0,1
1048986,bundesliga,2023,1899 Hoffenheim,FSV Mainz 05,1,1,99,0,0,0,1
1048985,bundesliga,2023,1. FC Köln,Bayern Munich,0,1,99,0,0,0,1
1048984,bundesliga,2023,VfL Wolfsburg,RB Leipzig,2,1,99,0,0,0,1
1048983,bundesliga,2023,Eintracht Frankfurt,VfB Stuttgart,1,2,99,0,0,0,1
1048982,bundesliga,2023,SC Freiburg,SV Darmstadt 98,1,1,99,0,0,0,1
1048981,bundesliga,2023,Union Berlin,FC Augsburg,1,1,99,0,0,0,1
1048980,bundesliga,2023,Borussia Dortmund,Borussia Monchengladbach,4,2,99,0,0,0,1
1048978,bundesliga,2023,VfB Stuttgart,Borussia Dortmund,2,1,99,0,0,0,1
1048977,bundesliga,2023,FC Augsburg,1899 Hoffenheim,1,1,99,0,0,0,1
1048976,bundesliga,2023,Vfl Bochum,1. FC Köln,1,1,99,0,0,0,1
1048975,bundesliga,2023,Werder Bremen,Eintracht Frankfurt,2,2,99,0,0,0,1
1048974,bundesliga,2023,Borussia Monchengladbach,VfL Wolfsburg,4,0,99,0,0,0,1
1048973,bundesliga,2023,Bayer Leverkusen,Union Berlin,4,0,99,0,0,0,1
1048972,bundesliga,2023,RB Leipzig,SC Freiburg,3,1,99,0,0,0,1
1048971,bundesliga,2023,Bayern Munich,FC Heidenheim,4,2,99,0,0,0,1
1048970,bundesliga,2023,SV Darmstadt 98,Vfl Bochum,1,2,99,0,0,0,1
1048969,bundesliga,2023,FC Heidenheim,VfB Stuttgart,2,0,99,0,0,0,1
1048968,bundesliga,2023,1899 Hoffenheim,Bayer Leverkusen,2,3,99,0,0,0,1
1048967,bundesliga,2023,1. FC Köln,FC Augsburg,1,1,99,0,0,0,1
1048966,bundesliga,2023,FSV Mainz 05,RB Leipzig,2,0,99,0,0,0,1
1048965,bundesliga,2023,VfL Wolfsburg,Werder Bremen,2,2,99,0,0,0,1
1048964,bundesliga,2023,SC Freiburg,Borussia Monchengladbach,3,3,99,0,0,0,1
1048963,bundesliga,2023,Union Berlin,Eintracht Frankfurt,0,3,99,0,0,0,1
1048962,bundesliga,2023,Borussia Dortmund,Bayern Munich,0,4,99,0,0,0,1
1048961,bundesliga,2023,VfB Stuttgart,1899 Hoffenheim,2,3,99,0,0,0,1
1048960,bundesliga,2023,FC Augsburg,VfL Wolfsburg,3,2,99,0,0,0,1
1048959,bundesliga,2023,Vfl Bochum,FSV Mainz 05,2,2,99,0,0,0,1
1048958,bundesliga,2023,Werder Bremen,Union Berlin,2,0,99,0,0,0,1
1048957,bundesliga,2023,Borussia Monchengladbach,FC Heidenheim,2,1,99,0,0,0,1
1048956,bundesliga,2023,Eintracht Frankfurt,Borussia Dortmund,3,3,99,0,0,0,1
1048955,bundesliga,2023,Bayer Leverkusen,SC Freiburg,2,1,99,0,0,0,1
1048954,bundesliga,2023,RB Leipzig,1. FC Köln,6,0,99,0,0,0,1
1048953,bundesliga,2023,Bayern Munich,SV Darmstadt 98,8,0,99,0,0,0,1
1048952,bundesliga,2023,SV Darmstadt 98,RB Leipzig,1,3,99,0,0,0,1
1048951,bundesliga,2023,FC Heidenheim,FC Augsburg,2,5,99,0,0,0,1
1048950,bundesliga,2023,1899 Hoffenheim,Eintracht Frankfurt,1,3,99,0,0,0,1
1048949,bundesliga,2023,1. FC Köln,Borussia Monchengladbach,3,1,99,0,0,0,1
1048948,bundesliga,2023,FSV Mainz 05,Bayern Munich,1,3,99,0,0,0,1
1048947,bundesliga,2023,VfL Wolfsburg,Bayer Leverkusen,1,2,99,0,0,0,1
1048946,bundesliga,2023,SC Freiburg,Vfl Bochum,2,1,99,0,0,0,1
1048945,bundesliga,2023,Union Berlin,VfB Stuttgart,0,3,99,0,0,0,1
1048944,bundesliga,2023,Borussia Dortmund,Werder Bremen,1,0,99,0,0,0,1
1048943,bundesliga,2023,VfB Stuttgart,VfL Wolfsburg,3,1,99,0,0,0,1
1048942,bundesliga,2023,FC Augsburg,SV Darmstadt 98,1,2,99,0,0,0,1
1048941,bundesliga,2023,Werder Bremen,1899 Hoffenheim,2,3,99,0,0,0,1
1048940,bundesliga,2023,Borussia Monchengladbach,FSV Mainz 05,2,2,99,0,0,0,1
1048939,bundesliga,2023,Eintracht Frankfurt,FC Heidenheim,2,0,99,0,0,0,1
1048938,bundesliga,2023,Bayer Leverkusen,1. FC Köln,3,0,99,0,0,0,1
1048936,bundesliga,2023,Borussia Dortmund,Union Berlin,4,2,99,0,0,0,1
1048935,bundesliga,2023,Bayern Munich,SC Freiburg,3,0,99,0,0,0,1
1048934,bundesliga,2023,SV Darmstadt 98,Werder Bremen,4,2,99,0,0,0,1
1048933,bundesliga,2023,FC Heidenheim,Union Berlin,1,0,99,0,0,0,1
